4.	1.
4.1	1.
4.2	1.
4.3	1.
4.4	1.
4.5	0.9999999999999999
4.6	0.9999999999999999
4.7	1.
4.8	0.9999999999999927
4.9	1.
5.	1.
5.1	1.
5.2	0.9999999999999926
5.3	0.9999999999999999
5.4	1.
5.5	1.0000000000000004
5.6	1.
5.7	1.
5.8	1.0000000000000004
5.9	1.
6.	1.
6.1000000000000005	0.06307310662128363
6.2	0.018255647847762166
6.3	0.00661996579158193
6.4	0.0026741564891560577
6.5	0.001151687777077465
6.6000000000000005	0.0005174735131123274
6.7	0.00023959035402046485
6.8	0.00011342560676541037
6.9	0.00005462189777966658
7.	0.000026660314624325608
7.1000000000000005	0.000013154286739934734
7.2	6.548207314756086e-6
7.3	3.2838282638797173e-6
7.4	1.6570449006906408e-6
7.5	8.405851343863173e-7
7.6000000000000005	4.2835017165083193e-7
7.7	2.1914018437415316e-7
7.8	1.1249501687796748e-7
7.9	5.792305632636863e-8
8.	2.99036540673462e-8
8.1	1.547471395365137e-8
8.200000000000001	8.0248417768422e-9
8.3	4.169377582839018e-9
8.4	2.1699270610271105e-9
8.5	1.1310639586478237e-9
8.6	5.90384910325363e-10
8.700000000000001	3.085566520772888e-10
8.8	1.6145002866637426e-10
8.9	8.45672800842345e-11
9.	4.433940168765316e-11
9.1	2.3268415626723728e-11
9.200000000000001	1.2220898693880246e-11
9.3	6.42350006839484e-12
9.4	3.3786887416594083e-12
9.5	1.7783222704816462e-12
9.6	9.365665249757681e-13
9.700000000000001	4.935311451028173e-13
9.8	2.602086845078885e-13
9.9	1.3726040173904514e-13
10.	7.243880203078864e-14
10.1	3.8246102288758744e-14
10.200000000000001	2.0201400662648694e-14
10.3	1.0674401589418638e-14
10.4	5.642396009735286e-15
10.5	2.983544578436312e-15
