Energy (E),Reflectivity (R),Transmissivity (T)
-5.512520868113523,5.499561026215749,-4.499561026215749
-5.494156928213689,5.439353157869108,-4.439353157869108
-5.475792988313857,5.37985880927627,-4.37985880927627
-5.457429048414023,5.321071330328946,-4.321071330328946
-5.439065108514191,5.262982258055382,-4.262982258055382
-5.420701168614357,5.20558553247841,-4.20558553247841
-5.402337228714524,5.148875146623491,-4.148875146623491
-5.383973288814691,5.09284377044964,-4.09284377044964
-5.365609348914858,5.0374842181240505,-4.0374842181240505
-5.347245409015025,4.982789368234767,-3.9827893682347666
-5.328881469115192,4.928752084608107,-3.9287520846081074
-5.310517529215359,4.875365207864873,-3.8753652078648733
-5.292153589315526,4.822621559545235,-3.822621559545235
-5.273789649415693,4.770513947769998,-3.770513947769998
-5.25542570951586,4.719035172916496,-3.719035172916496
-5.237061769616027,4.668178033087806,-3.6681780330878064
-5.218697829716193,4.617935329629315,-3.617935329629315
-5.200333889816361,4.568299877004458,-3.568299877004458
-5.181969949916528,4.519264557994982,-3.5192645579949824
-5.163606010016695,4.470822611982552,-3.470822611982552
-5.145242070116861,4.422966974785478,-3.422966974785478
-5.126878130217029,4.375687862203101,-3.375687862203101
-5.108514190317195,4.328980318317329,-3.3289803183173294
-5.090150250417363,4.282837858393628,-3.282837858393628
-5.071786310517529,4.2372529456397325,-3.2372529456397325
-5.053422370617696,4.192218486304338,-3.1922184863043377
-5.035058430717863,4.147727510841872,-3.1477275108418716
-5.01669449081803,4.103773101210582,-3.1037731012105816
-4.9983305509181974,4.060348385201662,-3.060348385201662
-4.979966611018364,4.017446537740179,-3.017446537740179
-4.961602671118531,3.9750607826046385,-2.9750607826046385
-4.943238731218698,3.933184394025264,-2.933184394025264
-4.924874791318865,3.8918106979807345,-2.8918106979807345
-4.906510851419032,3.850933072889168,-2.850933072889168
-4.888146911519199,3.8105449523730552,-2.8105449523730552
-4.869782971619365,3.7706398824504457,-2.7706398824504457
-4.851419031719533,3.7312120372479307,-2.7312120372479307
-4.8330550918197,3.692255177456124,-2.692255177456124
-4.814691151919867,3.653758790963869,-2.653758790963869
-4.796327212020033,3.6157208176727464,-2.6157208176727464
-4.7779632721202,3.5781347666862877,-2.5781347666862877
-4.759599332220367,3.5409939023317425,-2.5409939023317425
-4.741235392320535,3.5042920708727587,-2.5042920708727587
-4.722871452420701,3.4680232277773975,-2.4680232277773975
-4.704507512520868,3.432181390907736,-2.432181390907736
-4.6861435726210345,3.396760639452699,-2.396760639452699
-4.667779632721202,3.3617551143810185,-2.3617551143810185
-4.6494156928213695,3.327159018449258,-2.327159018449258
-4.631051752921536,3.292966615947043,-2.292966615947043
-4.612687813021703,3.2591722319436185,-2.2591722319436185
-4.59432387312187,3.2257702498635155,-2.2257702498635155
-4.575959933222037,3.1927551059231285,-2.1927551059231285
-4.557595993322204,3.1601213306185882,-2.1601213306185882
-4.539232053422371,3.1278644140574188,-2.1278644140574188
-4.520868113522537,3.095979425403605,-2.095979425403605
-4.502504173622705,3.0644545522275393,-2.0644545522275393
-4.484140233722872,3.0332918769709716,-2.0332918769709716
-4.465776293823039,3.002484464611182,-2.002484464611182
-4.447412353923205,2.972026681902878,-1.9720266819028782
-4.429048414023372,2.9419134401880513,-1.9419134401880513
-4.410684474123539,2.912139712829017,-1.912139712829017
-4.392320534223707,2.8827005230645897,-1.8827005230645897
-4.373956594323873,2.8535909472522865,-1.8535909472522865
-4.35559265442404,2.824806115130345,-1.824806115130345
-4.3372287145242066,2.7963412090322683,-1.7963412090322683
-4.318864774624374,2.7681914627122786,-1.7681914627122786
-4.3005008347245415,2.7403521594428675,-1.7403521594428675
-4.282136894824708,2.7128186271891415,-1.7128186271891415
-4.263772954924875,2.685586222674949,-1.685586222674949
-4.245409015025041,2.6586503226125098,-1.6586503226125098
-4.227045075125209,2.6320076115073827,-1.6320076115073827
-4.208681135225376,2.605654921234786,-1.6056549212347861
-4.190317195325543,2.5795776070367333,-1.5795776070367333
-4.171953255425709,2.553783136561301,-1.553783136561301
-4.153589315525877,2.528263234349152,-1.528263234349152
-4.135225375626043,2.5030133441056073,-1.5030133441056073
-4.116861435726211,2.4780292274862012,-1.4780292274862012
-4.098497495826377,2.453306648982299,-1.453306648982299
