Energy (E),Reflectivity (R),Transmittance (T),Energy_tilde (Etilde)
-10.0,1.6183013849624803,-0.6183013849624803,3.591409142295225
-9.981636060100167,1.6195851612939904,-0.6195851612939904,3.6097730821950584
-9.963272120200333,1.6208547661836556,-0.6208547661836556,3.628137022094892
-9.944908180300501,1.622110351084232,-0.6221103510842321,3.6465009619947235
-9.926544240400668,1.6233520643651362,-0.6233520643651362,3.664864901894557
-9.908180300500835,1.6245800505374448,-0.6245800505374448,3.6832288417943904
-9.889816360601001,1.6257944421404331,-0.6257944421404331,3.701592781694224
-9.871452420701168,1.6269953951215521,-0.6269953951215521,3.719956721594057
-9.853088480801336,1.628183062814564,-0.6281830628145639,3.738320661493889
-9.834724540901503,1.6293575536462657,-0.6293575536462657,3.7566846013937223
-9.81636060100167,1.6305190224495705,-0.6305190224495705,3.7750485412935557
-9.797996661101836,1.6316675744021363,-0.6316675744021363,3.793412481193389
-9.779632721202002,1.6328033490188858,-0.6328033490188858,3.8117764210932226
-9.76126878130217,1.6339264739601984,-0.6339264739601984,3.830140360993054
-9.742904841402337,1.6350370734852417,-0.6350370734852417,3.8485043008928876
-9.724540901502504,1.636135269377627,-0.636135269377627,3.866868240792721
-9.70617696160267,1.6372211810748494,-0.6372211810748494,3.8852321806925545
-9.687813021702839,1.638294925692952,-0.638294925692952,3.903596120592386
-9.669449081803005,1.6393566180440469,-0.6393566180440469,3.9219600604922196
-9.651085141903172,1.6404063706653842,-0.6404063706653842,3.940324000392053
-9.632721202003339,1.6414442938592921,-0.6414442938592921,3.9586879402918864
-9.614357262103505,1.6424704957201965,-0.6424704957201965,3.97705188019172
-9.595993322203674,1.6434850820074898,-0.6434850820074898,3.9954158200915515
-9.57762938230384,1.6444881548305168,-0.6444881548305168,4.013779759991385
-9.559265442404007,1.6454798000890962,-0.6454798000890962,4.032143699891218
-9.540901502504173,1.646460178633826,-0.646460178633826,4.050507639791052
-9.52253756260434,1.6474292953237757,-0.6474292953237757,4.068871579690885
-9.504173622704508,1.6483873422170003,-0.6483873422170003,4.087235519590717
-9.485809682804675,1.6493343764721513,-0.6493343764721513,4.10559945949055
-9.467445742904841,1.650270470063753,-0.6502704700637529,4.123963399390384
-9.449081803005008,1.6511957291666661,-0.6511957291666661,4.142327339290217
-9.430717863105176,1.652110245925484,-0.652110245925484,4.160691279190049
-9.412353923205343,1.6530141093639406,-0.6530141093639406,4.179055219089882
-9.39398998330551,1.6539074066118784,-0.6539074066118784,4.197419158989716
-9.375626043405676,1.6547902230696412,-0.6547902230696412,4.215783098889549
-9.357262103505843,1.6556626424253824,-0.6556626424253824,4.2341470387893825
-9.33889816360601,1.6565247466564357,-0.6565247466564357,4.252510978689214
-9.320534223706177,1.657376616038948,-0.657376616038948,4.2708749185890476
-9.302170283806344,1.658218329164957,-0.658218329164957,4.289238858488881
-9.28380634390651,1.659049962930605,-0.659049962930605,4.307602798388714
-9.265442404006677,1.6598715922769758,-0.6598715922769758,4.325966738288548
-9.247078464106846,1.6606832880581015,-0.6606832880581015,4.3443306781883795
-9.228714524207012,1.6614850975863986,-0.6614850975863986,4.362694618088213
-9.210350584307179,1.6622772597743545,-0.6622772597743545,4.381058557988046
-9.191986644407345,1.6630594628158386,-0.6630594628158386,4.39942249788788
-9.173622704507512,1.663832196402673,-0.663832196402673,4.417786437787713
-9.15525876460768,1.664595329672537,-0.6645953296725371,4.436150377687545
-9.136894824707847,1.6653489291058143,-0.6653489291058143,4.454514317587378
-9.118530884808013,1.6660930769895637,-0.6660930769895637,4.472878257487212
-9.10016694490818,1.6668278394311404,-0.6668278394311404,4.491242197387045
-9.081803005008346,1.66755327947505,-0.66755327947505,4.5096061372868785
-9.063439065108515,1.6682694586156888,-0.6682694586156888,4.52797007718671
-9.045075125208681,1.6689764369977398,-0.6689764369977398,4.546334017086544
-9.026711185308848,1.6696742734299965,-0.6696742734299965,4.564697956986377
-9.008347245409015,1.6703630253761639,-0.6703630253761639,4.5830618968862105
-8.989983305509181,1.671042748952848,-0.6710427489528481,4.601425836786044
-8.97161936560935,1.6717134989310858,-0.6717134989310858,4.6197897766858755
-8.953255425709516,1.6723753286834158,-0.6723753286834158,4.638153716585709
-8.934891485809683,1.6730282897246136,-0.6730282897246136,4.656517656485542
-8.91652754590985,1.673672428173205,-0.6736724281732049,4.674881596385376
-8.898163606010016,1.674307753479302,-0.674307753479302,4.693245536285209
-8.879799666110184,1.674934758771849,-0.674934758771849,4.711609476185041
-8.86143572621035,1.6755523465266624,-0.6755523465266624,4.729973416084874
-8.843071786310517,1.676161804934691,-0.6761618049346909,4.748337355984708
-8.824707846410684,1.6767626205962054,-0.6767626205962054,4.766701295884541
-8.806343906510852,1.6773548833499963,-0.6773548833499963,4.785065235784373
-8.787979966611019,1.6779386564857095,-0.6779386564857095,4.803429175684206
-8.769616026711185,1.6785139859678195,-0.6785139859678195,4.82179311558404
-8.751252086811352,1.6790809147168029,-0.6790809147168029,4.840157055483873
-8.732888146911518,1.6796394843012086,-0.6796394843012086,4.8585209953837065
-8.714524207011687,1.6801897351643993,-0.6801897351643993,4.876884935283538
-8.696160267111853,1.6807317066387202,-0.6807317066387202,4.895248875183372
-8.67779632721202,1.681265436933342,-0.681265436933342,4.913612815083205
-8.659432387312187,1.681790963128504,-0.681790963128504,4.9319767549830384
-8.641068447412355,1.6823083211654546,-0.6823083211654546,4.95034069488287
-8.622704507512521,1.6828175457338026,-0.6828175457338026,4.9687046347827035
-8.604340567612688,1.683318669452473,-0.6833186694524731,4.987068574682537
-8.585976627712855,1.6838117166070354,-0.6838117166070354,5.00543251458237
-8.567612687813021,1.6842966506529677,-0.6842966506529677,5.023796454482204
-8.54924874791319,1.6847745892883486,-0.6847745892883486,5.0421603943820354
-8.530884808013356,1.6852426597687489,-0.6852426597687489,5.060524334281869
-8.512520868113523,1.685703901822054,-0.6857039018220541,5.078888274181702
-8.49415692821369,1.6861571171253444,-0.6861571171253444,5.097252214081536
-8.475792988313856,1.6866024256689398,-0.6866024256689398,5.115616153981369
-8.457429048414024,1.6870398735111398,-0.6870398735111398,5.133980093881201
-8.43906510851419,1.6874694899739384,-0.6874694899739384,5.152344033781034
-8.420701168614357,1.6878913014525219,-0.6878913014525219,5.170707973680868
-8.402337228714524,1.6883053331087459,-0.6883053331087459,5.189071913580701
-8.38397328881469,1.6887116091050312,-0.6887116091050312,5.2074358534805345
-8.365609348914859,1.6891101526220886,-0.6891101526220886,5.225799793380366
-8.347245409015025,1.689500985850122,-0.689500985850122,5.2441637332802
-8.328881469115192,1.6898841299841585,-0.6898841299841585,5.262527673180033
-8.310517529215359,1.6902596051968006,-0.6902596051968006,5.280891613079866
-8.292153589315525,1.6906274304110784,-0.6906274304110784,5.2992555529797
-8.273789649415694,1.69098762174568,-0.6909876217456801,5.3176194928795315
-8.25542570951586,1.6913401803545458,-0.6913401803545458,5.335983432779365
-8.237061769616027,1.6916850066187037,-0.6916850066187037,5.354347372679198
-8.218697829716193,1.6920240795758672,-0.6920240795758672,5.372711312579032
-8.20033388981636,1.6923522591566689,-0.6923522591566689,5.391075252478865
-8.181969949916528,1.6926746968949395,-0.6926746968949395,5.409439192378697
-8.163606010016695,1.6929894700521537,-0.6929894700521537,5.42780313227853
-8.145242070116861,1.6932967030234223,-0.6932967030234223,5.446167072178364
